Fecha de notificación;Nombre departamento;ID de caso
15/06/2020 0:00;ANTIOQUIA;91
16/06/2020 0:00;ANTIOQUIA;212
17/06/2020 0:00;ANTIOQUIA;231
18/06/2020 0:00;ANTIOQUIA;177
19/06/2020 0:00;ANTIOQUIA;169
20/06/2020 0:00;ANTIOQUIA;158
21/06/2020 0:00;ANTIOQUIA;96
22/06/2020 0:00;ANTIOQUIA;159
23/06/2020 0:00;ANTIOQUIA;279
24/06/2020 0:00;ANTIOQUIA;309
25/06/2020 0:00;ANTIOQUIA;377
26/06/2020 0:00;ANTIOQUIA;348
27/06/2020 0:00;ANTIOQUIA;253
28/06/2020 0:00;ANTIOQUIA;226
29/06/2020 0:00;ANTIOQUIA;249
30/06/2020 0:00;ANTIOQUIA;530
1/07/2020 0:00;ANTIOQUIA;493
2/07/2020 0:00;ANTIOQUIA;695
3/07/2020 0:00;ANTIOQUIA;802
4/07/2020 0:00;ANTIOQUIA;728
5/07/2020 0:00;ANTIOQUIA;694
6/07/2020 0:00;ANTIOQUIA;980
7/07/2020 0:00;ANTIOQUIA;1.107
8/07/2020 0:00;ANTIOQUIA;1.385
9/07/2020 0:00;ANTIOQUIA;1.266
10/07/2020 0:00;ANTIOQUIA;1.56
11/07/2020 0:00;ANTIOQUIA;1.308
12/07/2020 0:00;ANTIOQUIA;866
13/07/2020 0:00;ANTIOQUIA;1.797
14/07/2020 0:00;ANTIOQUIA;1.655
15/07/2020 0:00;ANTIOQUIA;1.673
16/07/2020 0:00;ANTIOQUIA;1.628
17/07/2020 0:00;ANTIOQUIA;1.846
18/07/2020 0:00;ANTIOQUIA;1.78
19/07/2020 0:00;ANTIOQUIA;1.045
20/07/2020 0:00;ANTIOQUIA;1.686
21/07/2020 0:00;ANTIOQUIA;1.86
22/07/2020 0:00;ANTIOQUIA;1.68
23/07/2020 0:00;ANTIOQUIA;1.889
24/07/2020 0:00;ANTIOQUIA;1.784
25/07/2020 0:00;ANTIOQUIA;1.867
26/07/2020 0:00;ANTIOQUIA;1.446
27/07/2020 0:00;ANTIOQUIA;2.092
28/07/2020 0:00;ANTIOQUIA;2.149
29/07/2020 0:00;ANTIOQUIA;1.592
30/07/2020 0:00;ANTIOQUIA;1.392
31/07/2020 0:00;ANTIOQUIA;1.469
1/08/2020 0:00;ANTIOQUIA;1.386
2/08/2020 0:00;ANTIOQUIA;993
3/08/2020 0:00;ANTIOQUIA;1.471
